timestamp,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
1736855291745,2.600,2.200,9.400,0.000,0.162,0.024
1736855291778,2.700,2.300,9.100,-0.002,0.105,0.012
1736855291812,2.600,2.300,9.100,0.017,-0.024,-0.009
1736855291830,2.500,2.300,9.100,-0.005,-0.030,-0.007
1736855291862,2.400,2.400,9.100,-0.056,-0.030,0.017
1736855291878,2.400,2.300,9.200,-0.045,-0.061,0.021
1736855291912,2.500,2.300,9.100,0.009,-0.010,-0.005
1736855291929,2.600,2.200,9.300,0.019,0.061,-0.009
1736855291962,2.500,2.300,9.400,0.044,0.066,0.021
1736855291979,2.600,2.200,9.300,0.061,0.044,0.033
1736855292012,2.600,2.200,9.200,0.045,0.073,0.031
1736855292028,2.400,2.200,9.300,0.007,0.080,0.016
1736855292062,2.400,2.200,9.200,-0.049,0.093,-0.007
1736855292078,2.500,2.200,9.100,0.012,0.030,0.005
1736855292112,2.500,2.300,9.200,0.052,-0.051,0.017
1736855292128,2.500,2.300,9.200,0.038,0.002,0.005
1736855292162,2.400,2.200,9.300,-0.002,0.108,-0.002
1736855292178,2.400,2.300,9.300,-0.045,0.091,-0.002
1736855292212,2.500,2.300,9.000,-0.028,0.007,-0.003
1736855292228,2.500,2.300,9.000,0.005,-0.042,-0.010
1736855292262,2.400,2.300,9.200,-0.002,-0.012,0.002
1736855292278,2.300,2.300,9.300,-0.042,-0.026,0.035
1736855292312,2.300,2.300,9.200,-0.054,-0.077,0.037
1736855292329,2.300,2.300,9.100,-0.023,-0.096,-0.002
1736855292362,2.300,2.300,9.300,0.010,-0.073,0.002
1736855292378,2.400,2.300,9.300,0.031,-0.052,0.087
1736855292412,2.300,2.300,9.400,0.026,-0.037,0.138
1736855292428,2.300,2.200,9.400,0.086,0.311,0.319
1736855292462,2.300,2.200,9.300,0.054,0.117,0.449
1736855292478,2.300,2.400,9.300,-0.133,-0.265,0.785
1736855292512,2.300,2.300,9.500,-0.265,-0.248,0.906
1736855292528,2.300,2.000,9.600,-0.463,-0.119,0.887
1736855292562,1.900,2.300,9.000,-0.545,-0.119,0.831
1736855292578,2.000,2.200,9.100,-0.590,-0.194,0.768
1736855292612,2.500,1.700,8.700,-0.639,-0.134,0.775
1736855292628,2.800,1.400,8.800,-0.691,-0.211,0.775
1736855292662,2.600,1.700,9.100,-0.733,-0.192,0.771
1736855292678,2.800,1.600,9.100,-0.682,0.368,0.407
1736855292712,2.600,0.900,9.300,-0.660,0.422,0.192
1736855292728,2.900,0.600,9.200,-1.019,-0.065,0.017
1736855292762,3.900,1.000,9.500,-1.342,0.126,0.068
1736855292778,3.500,0.900,9.400,-1.986,1.121,-0.058
1736855292812,2.800,0.300,8.100,-2.302,1.323,-0.166
1736855292828,3.000,-0.300,7.100,-2.403,1.199,0.037
1736855292862,3.300,-0.900,7.700,-2.238,1.405,0.115
1736855292878,2.500,-0.400,9.000,-1.358,1.627,0.051
1736855292912,2.000,-0.800,10.200,-0.555,1.623,-0.113
1736855292928,1.800,-1.500,10.100,0.375,1.408,0.021
1736855292962,1.300,-1.800,11.300,0.463,1.332,0.183
1736855292978,1.000,-2.300,11.600,0.433,1.564,0.077
1736855293012,-0.900,-3.400,10.000,0.393,1.611,-0.056
1736855293028,-0.600,-3.500,9.600,0.513,1.515,-0.154
1736855293062,0.200,-2.600,9.400,0.668,1.545,-0.073
1736855293078,0.000,-2.300,9.600,0.916,1.562,-0.003
1736855293112,-1.200,-2.100,9.700,0.906,1.695,-0.024
1736855293128,-1.700,-2.300,9.600,0.658,1.950,0.035
1736855293162,-1.700,-2.000,9.600,0.581,2.005,0.103
1736855293179,-1.700,-1.700,9.200,0.571,1.979,0.188
1736855293212,-2.200,-1.600,9.000,0.621,2.033,0.250
1736855293229,-2.500,-1.600,9.400,0.890,1.618,0.410
1736855293262,-3.000,-1.200,9.400,1.051,1.005,0.449
1736855293278,-3.400,-1.000,9.400,1.386,0.113,0.407
1736855293312,-4.000,-0.700,9.900,1.484,-0.080,0.429
1736855293328,-4.000,-0.500,10.200,1.557,-0.433,0.579
